Comment,Designator,Footprint,LCSC
100n,"C1,C2,C3,C4,C5",C_0402_1005Metric,C1525
200k,"R1,R10,R11,R12,R13,R2,R3,R4,R5,R6,R7,R8,R9",R_0402_1005Metric,C25764
74LS08,U3,SOIC-14_3.9x8.7mm_P1.27mm,C5593
74LS14,U1,SOIC-14_3.9x8.7mm_P1.27mm,C5605
74LS132,U2,SOIC-14_3.9x8.7mm_P1.27mm,C7332
1N4148,D1,D_SOD-123F,C81598
k05,SW8,SW_PUSH_6mm,
k04,SW7,SW_PUSH_6mm,
k03,SW6,SW_PUSH_6mm,
k02,SW5,SW_PUSH_6mm,
k01,SW4,SW_PUSH_6mm,
nRST,SW3,SW_PUSH_6mm,
nBOOT,SW2,SW_PUSH_6mm,
DFU,SW1,SW_PUSH_6mm,
Conn_01x10,J1,PinHeader_1x10_P2.54mm_Vertical,
TestPoint_Small,TP14,TestPoint_Loop_D3.50mm_Drill1.4mm_Beaded,
TestPoint_Small,TP5,TestPoint_Loop_D3.50mm_Drill1.4mm_Beaded,
TestPoint_Small,TP8,TestPoint_Loop_D3.50mm_Drill1.4mm_Beaded,
TestPoint_Small,TP2,TestPoint_Loop_D3.50mm_Drill1.4mm_Beaded,
TestPoint_Small,TP12,TestPoint_Loop_D3.50mm_Drill1.4mm_Beaded,
TestPoint_Small,TP3,TestPoint_Loop_D3.50mm_Drill1.4mm_Beaded,
TestPoint_Small,TP10,TestPoint_Loop_D3.50mm_Drill1.4mm_Beaded,
TestPoint_Small,TP6,TestPoint_Loop_D3.50mm_Drill1.4mm_Beaded,
TestPoint_Small,TP1,TestPoint_Loop_D3.50mm_Drill1.4mm_Beaded,
TestPoint_Small,TP11,TestPoint_Loop_D3.50mm_Drill1.4mm_Beaded,
TestPoint_Small,TP9,TestPoint_Loop_D3.50mm_Drill1.4mm_Beaded,
TestPoint_Small,TP13,TestPoint_Loop_D3.50mm_Drill1.4mm_Beaded,
TestPoint_Small,TP7,TestPoint_Loop_D3.50mm_Drill1.4mm_Beaded,
TestPoint_Small,TP15,TestPoint_Loop_D3.50mm_Drill1.4mm_Beaded,
TestPoint_Small,TP4,TestPoint_Loop_D3.50mm_Drill1.4mm_Beaded,
